# Wavelength(micron) (Rp/Rs)^2 sqrt((Rp/Rs)^2)
7.716799e+03 2.977949e-02 6.071793e-04
7.851902e+03 2.951603e-02 6.071793e-04
7.989371e+03 2.946668e-02 6.071793e-04
8.129246e+03 2.965127e-02 6.071793e-04
8.271570e+03 2.993130e-02 6.071793e-04
8.416386e+03 3.020631e-02 6.071793e-04
8.563737e+03 3.040151e-02 6.071793e-04
8.713668e+03 3.029806e-02 6.071793e-04
8.866224e+03 3.007958e-02 6.071793e-04
9.021451e+03 2.985548e-02 6.071793e-04
9.179395e+03 2.948051e-02 6.071793e-04
9.340105e+03 2.928691e-02 6.071793e-04
9.503628e+03 2.925372e-02 6.071793e-04
9.670015e+03 2.937156e-02 6.071793e-04
9.839314e+03 2.952286e-02 6.071793e-04
1.001158e+04 2.959737e-02 6.071793e-04
1.018686e+04 2.951523e-02 6.071793e-04
1.036520e+04 2.944243e-02 6.071793e-04
1.054668e+04 2.934788e-02 6.071793e-04
1.073132e+04 2.925701e-02 6.071793e-04
1.091920e+04 2.931377e-02 6.071793e-04
1.111037e+04 2.956192e-02 6.071793e-04
1.130489e+04 2.946803e-02 6.071793e-04
1.150281e+04 2.917515e-02 6.071793e-04
1.170420e+04 2.910421e-02 6.071793e-04
1.190911e+04 2.905856e-02 6.071793e-04
1.211761e+04 2.875175e-02 6.071793e-04
1.232976e+04 2.878164e-02 6.071793e-04
1.254563e+04 2.880618e-02 6.071793e-04
1.276527e+04 2.883637e-02 6.071793e-04
1.298876e+04 2.886683e-02 6.071793e-04
1.321617e+04 2.889882e-02 6.071793e-04
1.344755e+04 2.893112e-02 6.071793e-04
1.368299e+04 2.896381e-02 6.071793e-04
1.392254e+04 2.899538e-02 6.071793e-04
1.416630e+04 2.902269e-02 6.071793e-04
1.441431e+04 2.905379e-02 6.071793e-04
1.466667e+04 2.908469e-02 6.071793e-04
1.492345e+04 2.911615e-02 6.071793e-04
1.518473e+04 2.914781e-02 6.071793e-04
1.545058e+04 2.917941e-02 6.071793e-04
1.572108e+04 2.921084e-02 6.071793e-04
1.599632e+04 2.924256e-02 6.071793e-04
1.627638e+04 2.927429e-02 6.071793e-04
1.656134e+04 2.930625e-02 6.071793e-04
1.685129e+04 2.933826e-02 6.071793e-04
1.714632e+04 2.936998e-02 6.071793e-04
1.744651e+04 2.940197e-02 6.071793e-04
1.775196e+04 2.943405e-02 6.071793e-04
1.806275e+04 2.946616e-02 6.071793e-04
