# Wavelength(micron) (Rp/Rs)^2 sqrt((Rp/Rs)^2)
1.295874e+00 3.042328e-02 6.047312e-04
1.273577e+00 3.014445e-02 6.047312e-04
1.251663e+00 3.004623e-02 6.047312e-04
1.230126e+00 3.025162e-02 6.047312e-04
1.208960e+00 3.059085e-02 6.047312e-04
1.188158e+00 3.091089e-02 6.047312e-04
1.167715e+00 3.112952e-02 6.047312e-04
1.147622e+00 3.100151e-02 6.047312e-04
1.127876e+00 3.082243e-02 6.047312e-04
1.108469e+00 3.058834e-02 6.047312e-04
1.089396e+00 3.014064e-02 6.047312e-04
1.070652e+00 2.990253e-02 6.047312e-04
1.052230e+00 2.987342e-02 6.047312e-04
1.034125e+00 3.001915e-02 6.047312e-04
1.016331e+00 3.019119e-02 6.047312e-04
9.988436e-01 3.028930e-02 6.047312e-04
9.816571e-01 3.024551e-02 6.047312e-04
9.647663e-01 3.022319e-02 6.047312e-04
9.481661e-01 3.012501e-02 6.047312e-04
9.318516e-01 3.009669e-02 6.047312e-04
9.158177e-01 2.998053e-02 6.047312e-04
9.000598e-01 3.024570e-02 6.047312e-04
8.845730e-01 3.010020e-02 6.047312e-04
8.693526e-01 2.973668e-02 6.047312e-04
8.543942e-01 2.964369e-02 6.047312e-04
8.396931e-01 2.958982e-02 6.047312e-04
8.252450e-01 2.901111e-02 6.047312e-04
8.110455e-01 2.901101e-02 6.047312e-04
7.970903e-01 2.888293e-02 6.047312e-04
7.833753e-01 2.889467e-02 6.047312e-04
7.698962e-01 2.891433e-02 6.047312e-04
7.566490e-01 2.898789e-02 6.047312e-04
7.436298e-01 2.905566e-02 6.047312e-04
7.308346e-01 2.911755e-02 6.047312e-04
7.182595e-01 2.915868e-02 6.047312e-04
7.059009e-01 2.907585e-02 6.047312e-04
6.937548e-01 2.909638e-02 6.047312e-04
6.818178e-01 2.910128e-02 6.047312e-04
6.700862e-01 2.913566e-02 6.047312e-04
6.585564e-01 2.917434e-02 6.047312e-04
6.472250e-01 2.920715e-02 6.047312e-04
6.360886e-01 2.922612e-02 6.047312e-04
6.251438e-01 2.925769e-02 6.047312e-04
6.143873e-01 2.928983e-02 6.047312e-04
6.038159e-01 2.932802e-02 6.047312e-04
5.934264e-01 2.936565e-02 6.047312e-04
5.832156e-01 2.938681e-02 6.047312e-04
5.731806e-01 2.941594e-02 6.047312e-04
5.633182e-01 2.944687e-02 6.047312e-04
5.536255e-01 2.947928e-02 6.047312e-04
5.440996e-01 2.951204e-02 6.047312e-04
5.347376e-01 2.954377e-02 6.047312e-04
5.255367e-01 2.957613e-02 6.047312e-04
5.164941e-01 2.960907e-02 6.047312e-04
5.076070e-01 2.964224e-02 6.047312e-04
4.988729e-01 2.967418e-02 6.047312e-04
4.902891e-01 2.970665e-02 6.047312e-04
4.818530e-01 2.973948e-02 6.047312e-04
4.735620e-01 2.977240e-02 6.047312e-04
4.654137e-01 2.980531e-02 6.047312e-04
4.574056e-01 2.983825e-02 6.047312e-04
4.495353e-01 2.987136e-02 6.047312e-04
4.418004e-01 2.990449e-02 6.047312e-04
4.341986e-01 2.993752e-02 6.047312e-04
4.267276e-01 2.997074e-02 6.047312e-04
4.193852e-01 3.000402e-02 6.047312e-04
4.121690e-01 3.003727e-02 6.047312e-04
4.050771e-01 3.007063e-02 6.047312e-04
3.981072e-01 3.010392e-02 6.047312e-04
