# Wavelength(micron) (Rp/Rs)^2 sqrt((Rp/Rs)^2)
1.295874e+00 3.041508e-02 6.451274e-04
1.273577e+00 3.013599e-02 6.451274e-04
1.251663e+00 3.003798e-02 6.451274e-04
1.230126e+00 3.024279e-02 6.451274e-04
1.208960e+00 3.058226e-02 6.451274e-04
1.188158e+00 3.090324e-02 6.451274e-04
1.167715e+00 3.112300e-02 6.451274e-04
1.147622e+00 3.099418e-02 6.451274e-04
1.127876e+00 3.081265e-02 6.451274e-04
1.108469e+00 3.057845e-02 6.451274e-04
1.089396e+00 3.013182e-02 6.451274e-04
1.070652e+00 2.989518e-02 6.451274e-04
1.052230e+00 2.986592e-02 6.451274e-04
1.034125e+00 3.001112e-02 6.451274e-04
1.016331e+00 3.018263e-02 6.451274e-04
9.988436e-01 3.027972e-02 6.451274e-04
9.816571e-01 3.023409e-02 6.451274e-04
9.647663e-01 3.020996e-02 6.451274e-04
9.481661e-01 3.011154e-02 6.451274e-04
9.318516e-01 3.008149e-02 6.451274e-04
9.158177e-01 2.997077e-02 6.451274e-04
9.000598e-01 3.023672e-02 6.451274e-04
8.845730e-01 3.009258e-02 6.451274e-04
8.693526e-01 2.972963e-02 6.451274e-04
8.543942e-01 2.963626e-02 6.451274e-04
8.396931e-01 2.958100e-02 6.451274e-04
8.252450e-01 2.900239e-02 6.451274e-04
8.110455e-01 2.900356e-02 6.451274e-04
7.970903e-01 2.888207e-02 6.451274e-04
7.833753e-01 2.889496e-02 6.451274e-04
7.698962e-01 2.891523e-02 6.451274e-04
7.566490e-01 2.898628e-02 6.451274e-04
7.436298e-01 2.905247e-02 6.451274e-04
7.308346e-01 2.911318e-02 6.451274e-04
7.182595e-01 2.915391e-02 6.451274e-04
7.059009e-01 2.907641e-02 6.451274e-04
6.937548e-01 2.909757e-02 6.451274e-04
6.818178e-01 2.910416e-02 6.451274e-04
6.700862e-01 2.913830e-02 6.451274e-04
6.585564e-01 2.917647e-02 6.451274e-04
6.472250e-01 2.920916e-02 6.451274e-04
6.360886e-01 2.922899e-02 6.451274e-04
6.251438e-01 2.926055e-02 6.451274e-04
6.143873e-01 2.929264e-02 6.451274e-04
6.038159e-01 2.933036e-02 6.451274e-04
5.934264e-01 2.936757e-02 6.451274e-04
5.832156e-01 2.938946e-02 6.451274e-04
5.731806e-01 2.941876e-02 6.451274e-04
5.633182e-01 2.944976e-02 6.451274e-04
5.536255e-01 2.948213e-02 6.451274e-04
5.440996e-01 2.951482e-02 6.451274e-04
5.347376e-01 2.954657e-02 6.451274e-04
5.255367e-01 2.957891e-02 6.451274e-04
5.164941e-01 2.961179e-02 6.451274e-04
5.076070e-01 2.964488e-02 6.451274e-04
4.988729e-01 2.967684e-02 6.451274e-04
4.902891e-01 2.970930e-02 6.451274e-04
4.818530e-01 2.974210e-02 6.451274e-04
4.735620e-01 2.977498e-02 6.451274e-04
4.654137e-01 2.980786e-02 6.451274e-04
4.574056e-01 2.984077e-02 6.451274e-04
4.495353e-01 2.987385e-02 6.451274e-04
4.418004e-01 2.990694e-02 6.451274e-04
4.341986e-01 2.993995e-02 6.451274e-04
4.267276e-01 2.997315e-02 6.451274e-04
4.193852e-01 3.000639e-02 6.451274e-04
4.121690e-01 3.003961e-02 6.451274e-04
4.050771e-01 3.007296e-02 6.451274e-04
3.981072e-01 3.010622e-02 6.451274e-04
