# Wavelength(micron) (Rp/Rs)^2 sqrt((Rp/Rs)^2)
4.956692e+01 3.027138e-02 6.071793e-04
4.956361e+01 3.107351e-02 6.071793e-04
4.956031e+01 3.130110e-02 6.071793e-04
4.955701e+01 3.122843e-02 6.071793e-04
4.955370e+01 3.036340e-02 6.071793e-04
4.955040e+01 2.997299e-02 6.071793e-04
4.954710e+01 2.989444e-02 6.071793e-04
4.954379e+01 2.976426e-02 6.071793e-04
4.954049e+01 3.004781e-02 6.071793e-04
4.953719e+01 2.989749e-02 6.071793e-04
4.953388e+01 2.989152e-02 6.071793e-04
4.953058e+01 3.086824e-02 6.071793e-04
4.952728e+01 3.087756e-02 6.071793e-04
4.952398e+01 3.087824e-02 6.071793e-04
4.952068e+01 3.088449e-02 6.071793e-04
4.951738e+01 3.014805e-02 6.071793e-04
4.951408e+01 2.996524e-02 6.071793e-04
4.951078e+01 2.986153e-02 6.071793e-04
4.950747e+01 3.004122e-02 6.071793e-04
4.950417e+01 3.124811e-02 6.071793e-04
4.950087e+01 3.164488e-02 6.071793e-04
4.949757e+01 3.027631e-02 6.071793e-04
4.949427e+01 3.038739e-02 6.071793e-04
4.949098e+01 3.059480e-02 6.071793e-04
4.948768e+01 3.062185e-02 6.071793e-04
4.948438e+01 3.025703e-02 6.071793e-04
4.948108e+01 2.983114e-02 6.071793e-04
4.947778e+01 3.005076e-02 6.071793e-04
4.947448e+01 2.989672e-02 6.071793e-04
4.947118e+01 2.988296e-02 6.071793e-04
4.946789e+01 3.006435e-02 6.071793e-04
4.946459e+01 2.995725e-02 6.071793e-04
4.946129e+01 3.007049e-02 6.071793e-04
4.945799e+01 3.000598e-02 6.071793e-04
4.945470e+01 3.003318e-02 6.071793e-04
4.945140e+01 3.042615e-02 6.071793e-04
4.944810e+01 3.030825e-02 6.071793e-04
4.944481e+01 3.015483e-02 6.071793e-04
4.944151e+01 3.016596e-02 6.071793e-04
4.943821e+01 3.001853e-02 6.071793e-04
4.943492e+01 2.996132e-02 6.071793e-04
4.943162e+01 2.991702e-02 6.071793e-04
4.942833e+01 3.005729e-02 6.071793e-04
4.942503e+01 3.033979e-02 6.071793e-04
4.942174e+01 3.013353e-02 6.071793e-04
4.941844e+01 3.005248e-02 6.071793e-04
4.941515e+01 3.010416e-02 6.071793e-04
4.941186e+01 3.011131e-02 6.071793e-04
4.940856e+01 3.018194e-02 6.071793e-04
4.940527e+01 3.030280e-02 6.071793e-04
4.940197e+01 3.038423e-02 6.071793e-04
4.939868e+01 3.078800e-02 6.071793e-04
4.939539e+01 3.129644e-02 6.071793e-04
4.939210e+01 3.143764e-02 6.071793e-04
4.938880e+01 3.138615e-02 6.071793e-04
4.938551e+01 3.128196e-02 6.071793e-04
